_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,checkfield,ev0a,ev10a,ev11a,ev12a,ev13a,ev14a,ev1a,ev2a,ev3a,ev4a,ev5a,ev6a,ev7a,ev8a,ev9a,event,event0,event1,event10,event11,event12,event13,event14,event2,event3,event4,event5,event6,event7,event8,event9,nohighlightwords,step_2_highlight_words_in_the_text_that_relate_to_the_events_you_selected_in_step1,_golden,tweet,uid
713702964,5/4/2015 15:35:20,1629049371,5/4/2015 15:35:06,false,instagc,0.9366,22535866,GBR,M2,Solihull,80.195.193.86,done,0,,,,,,2,17,,,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702964,5/4/2015 16:34:35,1629071412,5/4/2015 16:34:14,false,prodege,0.7622,22031444,GBR,G2,Cowes,89.240.169.25,done,,,,,,,,,,,,,,,,[NONE],,,,,,,,,,,,,,,,N/A,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702964,5/4/2015 16:41:07,1629074656,5/4/2015 16:40:44,false,instagc,0.7689,30326470,USA,CA,Santee,99.44.37.73,done,0-5,,,,,,,,,,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702964,5/4/2015 17:05:41,1629084495,5/4/2015 17:04:59,false,clixsense,0.8383,17950689,GBR,Y9,Tonypandy,92.2.44.79,done,8,,,,,,7,9,,,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702964,5/4/2015 17:09:25,1629086125,5/4/2015 17:09:02,false,clixsense,0.8749,6417041,USA,FL,Tampa,97.76.210.2,done,2,,,,,,0,5,7,9,17,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702964,5/4/2015 17:20:48,1629091109,5/4/2015 17:20:28,false,prodege,0.8534,16101132,GBR,F9,Hayes,2.223.214.149,done,0,,,,,,2,,,,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702964,5/4/2015 17:26:53,1629093255,5/4/2015 17:26:38,false,elite,0.9174,32232485,USA,DE,Wilmington,199.115.115.210,done,0,,,,,,1,2,4,5,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,China and Vietnam in tense talks - China and Vietnam begin their first high-level talks over their territorial dis... http://t.co/dqY7VoHAWs,entity/text/news/tweet/18463
713702965,5/4/2015 13:54:11,1629005021,5/4/2015 13:53:48,false,instagc,0.9841,32352104,USA,ME,Bangor,74.75.63.81,done,,,,,,,,,,,,,,,,[NONE],,,,,,,,,,,,,,,,n/a,,false,#Vietnam Foreign Ministry asks #China to explain fishermen's arrest - http://t.co/W43g1MWWVk #SouthChinaSea,entity/text/news/tweet/18966
713702965,5/4/2015 13:59:00,1629007769,5/4/2015 13:58:40,false,clixsense,0.5991,6352682,GBR,H9,London,2.125.111.168,done,0,,,,,,4,,,,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,#Vietnam Foreign Ministry asks #China to explain fishermen's arrest - http://t.co/W43g1MWWVk #SouthChinaSea,entity/text/news/tweet/18966
713702965,5/4/2015 14:01:35,1629008903,5/4/2015 14:01:25,false,clixsense,0.8351,31580375,GBR,H4,Leicester,5.64.3.79,done,0,,,,,,4,,,,,,,,,[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],[2014_anti-China_protests_in_Vietnam],,,false,#Vietnam Foreign Ministry asks #China to explain fishermen's arrest - http://t.co/W43g1MWWVk #SouthChinaSea,entity/text/news/tweet/18966
