	index	Dataset	Tweet Id	Tweet Author	Tweet Date	Tweet Seed Index	Tweet Content	Tweet Event Relevance Score	Number of Relevant Mentions	Overall Sentiment-Intensity	Relevant Mention	Relevant Mention Score	Positive Sentiment	Negative Sentiment	Neutral Sentiment	High Intensity	Low Intensity	Medium Intensity	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100	Unnamed: 101	Unnamed: 102	Unnamed: 103	Unnamed: 104	Unnamed: 105	Unnamed: 106	Unnamed: 107	Unnamed: 108	Unnamed: 109	Unnamed: 110	Unnamed: 111	Unnamed: 112	Unnamed: 113	Unnamed: 114	Unnamed: 115	Unnamed: 116	Unnamed: 117	Unnamed: 118	Unnamed: 119	Unnamed: 120	Unnamed: 121	Unnamed: 122	Unnamed: 123	Unnamed: 124	Unnamed: 125	Unnamed: 126	Unnamed: 127	Unnamed: 128	Unnamed: 129	Unnamed: 130	Unnamed: 131	Unnamed: 132	Unnamed: 133	Unnamed: 134	Unnamed: 135	Unnamed: 136	Unnamed: 137	Unnamed: 138	Unnamed: 139	Unnamed: 140	Unnamed: 141	Unnamed: 142	Unnamed: 143	Unnamed: 144	Unnamed: 145	Unnamed: 146	Unnamed: 147	Unnamed: 148	Unnamed: 149	Unnamed: 150	Unnamed: 151	Unnamed: 152	Unnamed: 153	Unnamed: 154	Unnamed: 155	Unnamed: 156	Unnamed: 157	Unnamed: 158	Unnamed: 159	Unnamed: 160
0	0	DS2	23892	@Blubdha	2014-04-30	whaling_98	Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/5BiHSWqjYu ( #japancc live at http://t.co/MVOUQb5AwD)	1.0	4.0	1			0.2294157339	0.6882472016	0.6882472016	0.2182178902	0.8728715609	0.4364357805																																																																																																																																																
1	1	DS2	24175	@ShutTaijiDown	2014-05-15	whaling_388	Activists sue Japanese whaling town - 3News NZ: Activists sue Japanese whaling town3News N... http://t.co/eKv4gHLNe3 #Taiji #Tweet4Taiji	1.0	6.0	1			0.7071067812	0.7071067812	0.0	0.0	0.7071067812	0.7071067812																																																																																																																																																
2	2	DS2	24176	@johnneri5	2014-05-15	whaling_389	Japan whaling town sued by dolphin activists - News - World - The Voice of Russia:  http://t.co/BGw3IktbKM	1.0	5.0	1			0.3713906764	0.5570860145	0.7427813527	0.1690308509	0.5070925528	0.8451542547																																																																																																																																																
3	3	DS2	24178	@oceanadvocatefl	2014-05-16	whaling_391	Japan whaling town sued by dolphin activists  - Yahoo!7 http://t.co/gYx83IUANQ via @Yahoo7	1.0	6.0	1			0.5345224838	0.8017837257	0.2672612419	0.0	0.7071067812	0.7071067812																																																																																																																																																
4	4	DS2	24179	@ShutTaijiDown	2014-05-16	whaling_392	Japan whaling town sued by dolphin activists - http://t.co/rHKJRhCVH2: Phys.OrgJapan whalin... http://t.co/YyujdZP2rQ #Taiji #Tweet4Taiji	1.0	4.0	1			0.5345224838	0.8017837257	0.2672612419	0.2672612419	0.8017837257	0.5345224838																																																																																																																																																
5	5	DS2	24180	@polski_bear	2014-05-16	whaling_393	RT @ShutTaijiDown: Japan whaling town sued by dolphin activists - http://t.co/rHKJRhCVH2: Phys.OrgJapan whalin... http://t.co/YyujdZP2rQ #T…	1.0	4.0	1			0.5070925528	0.8451542547	0.1690308509	0.1690308509	0.5070925528	0.8451542547																																																																																																																																																
6	6	DS2	24186	@APACFactbook	2014-05-16	whaling_399	#Japan whaling town sued by dolphin activists - http://t.co/XHXcaYsFjm: Phys.OrgJapan whalin... http://t.co/us8Cc8EIix #Taiji #Tweet4Taiji	1.0	6.0	1			0.8728715609	0.2182178902	0.4364357805	0.0	0.6	0.8																																																																																																																																																
7	7	DS2	24187	@manny_ort	2014-05-16	whaling_400	RT @APACFactbook: #Japan whaling town sued by dolphin activists - http://t.co/XHXcaYsFjm: Phys.OrgJapan whalin... http://t.co/us8Cc8EIix #T…	1.0	5.0	1			0.3481553119	0.3481553119	0.8703882798	0.0	0.9922778767	0.1240347346																																																																																																																																																
8	8	DS2	24189	@ShutTaijiDown	2014-05-16	whaling_402	Japan whaling town sued by dolphin activists - Rappler: Japan whaling town sued by dolphin... http://t.co/gY7jCJDPr2 #Taiji #Tweet4Taiji	1.0	5.0	1			0.0	0.7808688094	0.6246950476	0.0	0.9615239476	0.2747211279																																																																																																																																																
9	9	DS2	23857	@k8ertot11	2014-04-30	whaling_62	RT @cathorio: Can International Pressure Really Keep Japan from Whaling? - http://t.co/2hLcFVEU0M	1.0		1																																																																																																										Can	0.13	International	0.13	Pressure	0.13	Really	0.13	Keep	0.25	Japan	0.64	from	0.25	Whaling?	0.64	[NONE]	0.0	[CHECK_FAILED]	0.0																											
10	10	DS3	38742	@SongOfTheHunt	Sun Mar 15 05:10:50 +0000 2015		National Anthems of Great Current Whaling Nations - Saint Vincent &amp; Grenadines - http://t.co/eA8zQB2sBj #Tweet4Taiji #seashepherd	1.0	3.0	1			0.0	0.242535625	0.9701425001	0.0	0.9938837347	0.1104315261																																																																																																																																																
11	11	DS3	38731	@suckmy_kimchi	Thu Mar 12 08:40:08 +0000 2015		RT @SP00KYFUCKER: stop illegal whaling http://t.co/HlzUmmE8h1	1.0	3.0	1			0.3015113446	0.9045340337	0.3015113446	0.4866642634	0.3244428423	0.8111071057																																																																																																																																																
12	12	DS3	38912	@GraemeEdgeler	Wed Mar 11 20:52:28 +0000 2015		@keith_ng I have no problem with intelligence gathering in advance of some vote on the International Whaling Commission (which I recall..	1.0	3.0	1			0.5547001962	0.0	0.8320502943	0.0	0.9701425001	0.242535625																																																																																																																																																
13	13	DS3	38727	@RoehlTaitlin	Sun Mar 15 18:29:49 +0000 2015		RT @SP00KYFUCKER: stop illegal whaling http://t.co/HlzUmmE8h1	1.0	3.0	1			0.6246950476	0.7808688094	0.0	0.7427813527	0.3713906764	0.5570860145																																																																																																																																																
14	14	DS3	38953	@qajin_bot	Tue Mar 10 00:47:58 +0000 2015		Korea bycatches 2300 Whales. It's double of Japanese research whaling(1000). 1000 Whale meat stores in Korea. Why complain Japan, not Korea?	1.0	8.0	1			0.0	0.9486832981	0.316227766	0.5883484054	0.1961161351	0.7844645406																																																																																																																																																
15	15	DS3	38863	@KMelaugh	Thu Mar 12 20:26:24 +0000 2015		RT @SeaShepherd_USA: Nearly 3 million whales were killed by commercial whaling in the last century http://t.co/z8O7GczHAx	1.0	8.0	1			0.0	1.0	0.0	0.8320502943	0.0	0.5547001962																																																																																																																																																
