Dataset,Tweet Id,Tweet Author,Tweet Date,Tweet Seed Index,Tweet Content,Tweet Event Relevance Score,Number of Relevant Mentions,Overall Sentiment-Intensity,Relevant Mention,Relevant Mention Score,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23892,@Blubdha,2014-04-30,whaling_98,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/5BiHSWqjYu ( #japancc live at http://t.co/MVOUQb5AwD),1.00,4,1,,,0.2294157339,0.6882472016,0.6882472016,0.2182178902,0.8728715609,0.4364357805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23892,@Blubdha,2014-04-30,whaling_98,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/5BiHSWqjYu ( #japancc live at http://t.co/MVOUQb5AwD),1.00,4,0,Japan,0.74,0.1643989873,0,0.9863939238,0,0.9863939238,0.1643989873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23892,@Blubdha,2014-04-30,whaling_98,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/5BiHSWqjYu ( #japancc live at http://t.co/MVOUQb5AwD),1.00,4,0,Whaling,0.59,0,0.3713906764,0.9284766909,0,0.9284766909,0.3713906764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23892,@Blubdha,2014-04-30,whaling_98,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/5BiHSWqjYu ( #japancc live at http://t.co/MVOUQb5AwD),1.00,4,0,First Whaling,0.15,0,0.1643989873,0.9863939238,0,0.9863939238,0.1643989873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23892,@Blubdha,2014-04-30,whaling_98,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/5BiHSWqjYu ( #japancc live at http://t.co/MVOUQb5AwD),1.00,4,0,Japan Sets Off for First Whaling Since UN Court Ruling,0.29,0.4850712501,0.4850712501,0.7276068751,0.2182178902,0.8728715609,0.4364357805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23891,@Blubdha,2014-04-30,whaling_97,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/aiICWtNi20 ( #japancc live at http://t.co/lBvTAjnWLb),1.00,8,1,,,0,0.5144957554,0.8574929257,0.4082482905,0.8164965809,0.4082482905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23891,@Blubdha,2014-04-30,whaling_97,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/aiICWtNi20 ( #japancc live at http://t.co/lBvTAjnWLb),1.00,8,0,Japan Sets Off for First Whaling Since UN Court Ruling,0.27,0,0.5144957554,0.8574929257,0.1961161351,0.7844645406,0.5883484054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23891,@Blubdha,2014-04-30,whaling_97,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/aiICWtNi20 ( #japancc live at http://t.co/lBvTAjnWLb),1.00,8,0,Whaling Since UN Court Ruling,0.27,0.1961161351,0.5883484054,0.7844645406,0.1414213562,0.9899494937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23891,@Blubdha,2014-04-30,whaling_97,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/aiICWtNi20 ( #japancc live at http://t.co/lBvTAjnWLb),1.00,8,0,Japan,0.53,0,0,1,0,0.9899494937,0.1414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23891,@Blubdha,2014-04-30,whaling_97,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/aiICWtNi20 ( #japancc live at http://t.co/lBvTAjnWLb),1.00,8,0,Whaling,0.53,0.1825741858,0.3651483717,0.9128709292,0.1414213562,0.9899494937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
